,genres_name,year_of_release,revenue_in_millions
910,Comedy,2003,177.371441
911,Crime,2014,188.441614
912,Horror,1994,223.664608
913,Comedy,2008,225.990978
915,Drama,1998,0.0
916,Comedy,2015,242.786137
917,Fantasy,2014,212.902372
918,Crime,2006,184.376254
919,Drama,1999,161.626121
920,Action,1995,152.022101
921,Drama,2011,120.081841
922,Action,2009,155.446362
923,Comedy,2006,88.715192
924,Drama,2005,161.451538
925,Comedy,2011,142.851197
926,Animation,2004,200.804534
927,Comedy,2004,0.0
928,Drama,2011,110.206216
929,Action,1995,189.85956
930,Action,2014,222.8096
931,Adventure,2009,106.303988
932,Action,2006,132.511035
933,Action,2003,88.323487
934,Adventure,2006,69.834815
935,Comedy,2005,66.002004
936,Thriller,2001,100.020092
937,Fantasy,2013,224.803475
938,Thriller,2002,119.137784
939,Action,2011,144.49283
940,Drama,2005,94.0
942,Romance,2014,97.437106
943,Thriller,2006,82.8
944,Crime,1997,50.06831
945,Action,1997,48.169156
946,Drama,1997,109.423648
947,Horror,2006,97.607453
948,Comedy,2000,0.0
949,Comedy,2012,234.989584
950,Action,1998,44.547681
951,Action,2014,160.602194
952,Action,1994,119.208989
953,Comedy,1990,41.482207
954,Drama,2014,83.719388
955,Action,1997,0.0
956,Horror,2004,129.394835
957,Comedy,2004,40.20302
958,Thriller,2003,55.495563
959,Action,1994,49.0
960,Adventure,2005,69.425966
961,Drama,2000,144.056873
962,Drama,2004,49.718611
963,Action,2009,60.462347
964,Drama,1999,0.0
965,Drama,1996,113.309743
967,Drama,2010,105.197635
968,Crime,2002,56.714147
969,Action,1995,30.303072
970,Crime,2007,82.169884
971,Comedy,1999,58.900031
972,Action,2013,63.327201
973,Action,2003,42.792561
974,Crime,2002,26.199517
975,Drama,2009,60.161391
976,Action,1996,42.277365
977,Adventure,1999,23.159305
978,Adventure,2004,34.808403
980,Drama,2003,38.955598
981,Comedy,2005,0.0
982,Action,2015,71.561644
983,Thriller,2007,55.112356
984,Action,2005,44.434439
985,Adventure,1999,66.976317
986,Comedy,2011,26.121638
987,Drama,2011,38.50234
988,Action,1997,10.541523
989,Action,1994,16.671505
990,Drama,1995,10.382407
991,Drama,2010,24.188922
992,Action,2005,22.944502
993,Action,1995,9.85161
994,Action,2009,40.82854
995,Fantasy,2013,60.052138
996,Comedy,2002,0.0
998,Comedy,2004,6.80855
999,Comedy,2000,0.0
1000,Fantasy,2011,28.931401
1001,Action,2009,12.764201
1002,Action,2001,72.7
1003,Action,1990,20.423389
1004,Drama,2009,36.348784
1005,Thriller,2000,207.515725
1006,Adventure,1989,474.171806
1007,Drama,2012,68.92915
1008,Crime,2015,104.399548
1009,Drama,1999,151.493655
1010,Crime,2002,196.397415
1011,Horror,2006,0.0
1012,Action,1999,108.0
1013,Crime,2015,3.32433
1014,Adventure,2001,85.498534
1015,Drama,2001,50.31514
1016,Comedy,2001,0.0
1017,Fantasy,2000,90.383208
1020,Thriller,2014,325.771424
1021,Romance,1998,77.745568
1022,Comedy,1996,102.825796
1023,Drama,1998,0.528972
1024,Adventure,1990,103.738726
1025,Drama,1999,124.305181
1026,Comedy,2001,35.743308
1027,Action,1982,125.212904
1029,Animation,2006,38.085778
1030,Drama,1996,12.379402
1031,Comedy,1997,299.288605
1032,Comedy,2001,0.0
1033,Crime,2002,113.71483
1035,Action,2010,10.539
1036,Drama,1996,100.860818
1037,Comedy,1997,181.0
1039,Drama,1981,5.2
1040,Fantasy,1994,341.631208
1041,Action,2012,376.141306
1042,Comedy,2003,220.673217
1043,Comedy,2000,212.0
1044,Action,2008,101.70206
1045,Comedy,2004,95.149435
1046,Drama,1993,195.268056
1047,Drama,1994,117.615211
1048,Drama,2007,175.372502
1049,Drama,1992,178.051587
1050,Romance,2005,154.749918
1051,Drama,2013,122.126687
1052,Action,2001,104.876233
1053,Comedy,1999,90.683916
1054,Comedy,2001,141.220678
1055,Comedy,2011,165.184237
1056,Horror,1998,131.18353
1057,Drama,2005,76.669806
1058,Action,2002,94.935764
1059,Adventure,1997,136.885767
1060,Comedy,2000,113.916474
1061,Comedy,2003,244.931766
1062,Adventure,1998,363.258859
1063,Horror,2001,74.558115
1064,Action,1994,170.362582
1065,Comedy,1996,53.854588
1067,Romance,2005,56.070433
1068,Adventure,2005,104.478416
1069,Comedy,2004,0.0
1070,Horror,2007,148.412065
1071,Comedy,2014,123.49461
1072,Adventure,2006,38.399961
1073,Action,1994,0.0
1074,Adventure,1995,0.0
1075,Crime,2012,82.966152
1076,Action,2004,56.422687
1077,Adventure,2003,160.583018
1078,Fantasy,2006,55.181129
1079,Action,1984,30.92569
1080,Adventure,2007,0.0
1081,Drama,2008,75.225693
1082,Action,2006,65.664721
1083,Action,2008,72.108608
1084,Action,1996,0.0
1085,Comedy,1996,0.0
1086,Adventure,2009,57.881056
1087,Crime,2001,29.4
1088,Comedy,2005,38.058335
1089,Adventure,1996,17.300889
1090,Drama,2000,0.0
1092,Thriller,2010,60.222298
1093,Adventure,1998,11.203026
1094,Drama,2008,9.323833
1095,Action,2006,0.0
1096,Action,2008,42.48739
1097,Action,2002,8.49389
1098,Drama,2007,4.607608
1099,Action,1997,2.15454
1100,Crime,2011,160.078586
